train_loss_step,train_acc_step,epoch,step,train_loss_epoch,train_acc_epoch
0.30296945571899414,0.875,0,49,,
0.6954051852226257,0.375,0,99,,
,,0,130,0.453935831785202,0.8180076479911804
0.3355991542339325,0.875,1,149,,
0.4465517997741699,0.75,1,199,,
0.1502624899148941,1.0,1,249,,
,,1,261,0.32028162479400635,0.8754789233207703
0.4249504804611206,0.875,2,299,,
0.3150797486305237,0.75,2,349,,
,,2,392,0.28016364574432373,0.9022988677024841
0.16511084139347076,1.0,3,399,,
0.21820880472660065,1.0,3,449,,
